time,length,src,dst,src_port,dst_port,protocol,ttl
1745488977.581999,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.582001,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.582004,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.582006,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.582009,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.582012,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.582015,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.582017,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.582019,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.582196,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.582904,78,104.18.43.204,192.168.0.104,443,53152,TCP,56
1745488977.582958,1454,192.168.0.104,104.18.43.204,53152,443,TCP,64
1745488977.59545,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.59557,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.595925,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.596007,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.603717,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.603723,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.603726,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.603728,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.603731,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.604052,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.604302,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.604378,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.604713,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.604716,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.604719,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.604828,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.605122,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.605128,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
